job_id,title,company,location,description,url,salary,skills_required
2088696,Technical Support Operator,KnownHost,USA,"THIS IS WHO YOU ARE… 
 You are our front line in the battle for exceptional customer experience at the 24/7/365 help desk. 
 Ideally, you have experienced terrible web hosting customer service and have vowed that will never happen on your watch! 
 You are responsible for seeing that our customers have excellent customer service by doing what you do every day -> exceeding customer expectations. 
 WHAT DO WE NEED FROM YOU?  Well, you should be customer focused, great under pressure, and ready to engage a problem with your superior analytic skills. Can you do several things at a time with amazing efficiency? Good! If you are a super ninja with web hosting applications and platforms -> we need to talk. 
 MORE ABOUT THE POSITION . These will be your primary responsibilities in your daily goal to fight bad web hosting: 
 Hiring for day shift employees CST.  Provide customers support via our 24/7 helpdesk. Troubleshooting email delivery issues Troubleshooting cPanel, Plesk, and DirectAdmin related issues Troubleshooting DNS, FTP, SSL, Apache, and other service-related issues. 
 Ensuring customer satisfaction 
 You must know Linux like your favorite cheeseburger and fries’ combo! Here are your other amazing attributes: 
 Must be customer-focused, and willing to do whatever it takes to resolve customer issues. Going above and beyond is the standard at KnownHost. Our customer reviews reflect this. 
 Excellent written English. Technical Support Operators currently primarily provide support over email, but may occasionally be asked to pitch in with live chat and phone support. 
 Must be familiar with Linux shell (bash), Apache, PHP, MySQL, email (POP3/IMAP/SMTP), FTP, DNS, and other standard web hosting applications and protocols. 
 Must be able to work under pressure when bad stuff happens and get the job done. 
 Multi-tasking is a must. KnownHost has a lot going on, and multiple brands. 
 Must be able to ask customers for complete error message or derive the context of their problem if they provide insufficient information. 
 Must have working knowledge of one of the following control panels, cPanel/WHM, Plesk, and DirectAdmin is required.  
 Knowledge of PHP, Python, Perl, and Ruby on Rail a bonus.  
 Working Knowledge of Iptables firewalls (CSF, APF, etc.) 
 Common customer website apps, like Drupal, WordPress, MediaWiki, Magento, ZenCart, etc 
 MySQL commands for support or troubleshooting, like importing/dumping a database, simple SELECT statements or ""SHOW PROCESSLIST"" 
 WHY IS KNOWNHOST THE RIGHT FIT FOR YOU?  We are seeking extraordinary people in a world of mediocrity. You must live and breathe web hosting. To attract and retain top-level talent, we are prepared to treat you like a VIP. 
 With plush benefits, paid vacation time, and competitive pay, we believe that KnownHost can be your next home away from home. Here is how we let you know that you are valued on our red carpet: 
 
 Competitive pay between $14 to $20 per hour (depending on experience) 
 Comprehensive health, dental, and vision insurance plans (US only) 
 Flexible scheduling, & paid vacation benefits.  
 A variety of other perks and benefits 
 
 All our positions are full-time employment, so we expect KnownHost to be your only hosting related job. 
 All you should do is know your field from every position, pass the background/ drug test, and let us do the rest! 
 Apply today and let us get to know you!",https://remotive.com/remote-jobs/customer-service/technical-support-operator-2088696,$30k - $40k,"apache, drupal, magento, perl, php, python, ruby/rails, wordpress, bash, dns, web hosting, helpdesk, MySQL, technical support, chat, troubleshooting, Linux/Unix, shell, REST, insurance"
2088663,Junior Project Coordinator,C4Media Inc.,"Brazil, Argentina","C4Media, Inc.  is seeking a motivated, fully remote  Junior Project Coordinator (contractor)  to join our global team. In this role, you will provide essential support for our expanding online learning and certification cohorts. 
 As a Junior Project Coordinator, you will assist the team in planning and executing our virtual learning programs for software professionals. This is a foundational, entry-level role designed for someone who thrives on organization, clear communication, and the ""behind-the-scenes"" work. 
 You will work under the close guidance of our program leads, learning the operational ""ins and outs"" of professional education in a highly collaborative environment. 
 What You’ll Do 
 Working as part of a team, you will assist with the daily operations of our online learning cohorts: 
 
 
 Customer Service:  Act as a first point of contact for learners. You’ll help distribute onboarding materials, answer inquiries, and follow up to ensure participants have a smooth experience. 
 Logistics Assistance:  Help maintain our digital learning environments, including Zoom room administration, Google Drive organization, and coordinating Slack communications. 
 Editorial Pipeline Support:  Support the coordination of ""Capstone"" learning projects by collecting participant bios, tracking deadlines, and sharing information with our internal editorial team. 
 Trainer Coordination:  Provide administrative support to facilitators by ensuring session materials are organized and sessions are ready to launch. 
 Data Entry & Tracking:  Assist in keeping our databases accurate. You’ll help track attendance, distribute feedback surveys, and compile results for program reports. 
 Ad-Hoc Team Support:  Help with research tasks and small operational details, such as tracking costs or coordinating with Finance and Marketing. 
 
 
   
 Job Requirements 
   
 Professional Experience, Skills & Education: 
   
 
 
 Excellent English proficiency (written & spoken) with the ability to communicate professionally with a global audience. 
 A customer-first mindset—you are naturally helpful, patient, and supportive. 
 Sharp attention to detail and exceptional organizational skills. 
 Comfort with remote productivity tools such as Google Workspace and Slack. 
 Technology curiosity: A desire to learn new software. Experience with CRMs, Figma, or basic HTML is a plus, but not required. 
 A recent degree or 1-2 years of experience in an administrative or customer-facing role. 
 A proactive, solution-oriented mindset with a strong willingness to help. 
 
 
   
 Setup Requirements: 
   
 
 
 Able to work in a full-time remote position 
 Must reside in Argentina or Brazil 
 Able to work as an independent contractor 
 Able to work in overlap with our core global office hours (9 AM - 1 PM EST) 
 Quiet home office and ability to work comfortably from home 
 Reliable infrastructure: Access to high-speed internet and a modern computer 
 Able and willing to travel to locations in the USA or Europe 1 - 3 times per year, with an average stay of 4-8 days each, to attend our software conferences and annual company meetings 
 
 
   
 Only candidates who submit their  applications in English  will be considered for this role (including resume). 
 Why work at C4Media 
 
 
 Work from home - always : We are a remote-first and remote-always team who has been successfully operating on a work-from-home basis since 2007. And we have no intention of changing that. 
 Travel the world:  C4Media offers an opportunity to travel 3-4 times a year at our expense to NYC, SF, London, and other fun, global locations for conferences & team building. We also got you covered to add a sightseeing day to the end of the trip. 
 Take care of each other:  We look out for one another and prioritize respect, fairness, support, and well-being. Check out our core values on our careers page. 
 Learn something new:  C4Media’s culture is one of learning & mastering. Everyone has a training and education budget for professional growth every year and is encouraged to use it. 
 Make friends across the world : Be a part of a leading, fast-growing international company and build a network of international friends and colleagues for life. 
 Support wellbeing:  In an effort to make physical activity more readily accessible, we offer staff an annual subsidy towards fitness and wellness. 
 Generous paid time off:  In addition to 25 paid days off in the 1st year and 30 paid days off in every subsequent year, we provide 1 paid day off for birthdays (or a similar special day) and 2 paid days for continuing education. 
 Mentorship : Receive direct guidance and professional development from experienced project leads. 
 Global Exposure : Interact with tech professionals and world-class trainers daily. 
 Event Experience : Gain a front-row seat to how major international conferences are run, with potential opportunities to support in-person events. 
 
 
   
 Qualified candidates are to submit their applications on our C4Media website.",https://remotive.com/remote-jobs/project-management/junior-project-coordinator-2088663,,"html, Figma, research, onboarding, data entry, infrastructure, travel"
2088622,Content Reviewer,TELUS Digital,USA,"Looking for a freelance opportunity where you can make an impact on technology from the comfort of your home? If you are dynamic, tech-savvy, and always online to learn more, this part-time flexible project is the perfect fit for you! 
   
 A Day in the Life of a Personalized Internet Assessor: 
   
   
 ●        In this role, you’ll be analyzing and providing feedback on texts, pages, images, and other types of information for top search engines, using an online tool 
   
 ●        Through reviewing and rating search results for relevance and quality, you’ll be helping to improve the overall user experience for millions of search engine users, including yourself. 
   
   
   
 Join our team today and start putting your skills to work for one of the world's leading search engines. 
   
   
 The estimated hourly earnings for this role are 14 USD per hour. 
   
 Please note only one member per household can work on this program. If at a later stage it is identified that more than one person in your household is working on the TELUS Digital Rating Program, it will result in removal from the program. 
   
   
   
 TELUS Digital AI Community 
   
   
 Our global AI Community is a vibrant network of 1 million+ contributors from diverse backgrounds who help our customers collect, enhance, train, translate, and localize content to build better AI models. Become part of our growing community and make an impact supporting the machine learning models of some of the world’s largest brands. 
   
   
   
 Qualification path 
   
 No previous professional experience is required to apply to this role, however, working on this project will require you to pass the basic requirements and go through a standard assessment process. This is a part-time long-term project and your work will be subject to our standard quality assurance checks during the term of this agreement. 
   
   
   
 Basic Requirements 
   
   
 ●        Working as a freelancer with excellent communication skills in English 
   
 ●        Being a resident in the United States for the last 3 consecutive years and having familiarity with current and historical business, media, sport, news, social media, and cultural affairs in the US. 
   
 ●        Active use of Gmail and other forms of social media and experience in the use of web browsers to navigate and interact with a variety of content 
   
 ●        Daily access to a broadband internet connection, a smartphone (Android 5.0, iOS 14 or higher), and a personal computer to work on. 
   
   
   
 Assessment 
   
   
 In order to be hired into the program, you’ll take a language assessment and an open book qualification exam that will determine your suitability for the position and complete ID verification. Don’t worry, our team will provide you with guidelines and learning materials before your exam. You will be required to complete the exam in a specific timeframe but at your convenience! 
   
   
   
 Equal Opportunity 
   
   
   
 All qualified applicants will receive consideration for a contractual relationship without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status. At TELUS Digital AI, we are proud to offer equal opportunities and are committed to creating a diverse and inclusive community. All aspects of selection are based on applicants’ qualifications, merits, competence, and performance without regard to any characteristic related to diversity",https://remotive.com/remote-jobs/all-others/content-reviewer-2088622,14$/hour,"android, go, ios, social media, AI/ML, diversity"
2070150,Senior DevOps Engineer,Marketerx,USA,"The Role: Architect of a Resilient Future 
 We are seeking a highly experienced and motivated Senior DevOps/Security Engineer to join our founding engineering team. This isn't just another DevOps role. You will be the architect of the resilient, scalable, and secure foundation upon which our entire autonomous marketing platform is built. As the first dedicated DevOps/Security hire, you will have a unique opportunity to shape our infrastructure from the ground up, ensuring our platform can deliver on its promise of making brilliant marketing effortless. 
   
 We're looking for a visionary builder who is passionate about creating robust systems that can handle enterprise-level scale while empowering our customers to compete and win. 
 Your Impact: 
 
 
 Build the Bedrock:  Design and implement a world-class, scalable cloud infrastructure on AWS using Infrastructure as Code (IaC) principles (Terraform, CloudFormation). This is the foundation for amplifying the brilliance of thousands of businesses. 
 
 
 Automate Everything:  Develop and manage sophisticated CI/CD pipelines to ensure our AI models and applications are deployed rapidly, reliably, and securely. 
 
 
 Fortify the Platform:  Implement a comprehensive, proactive security program from the ground up. You will be the guardian of our customers' data and our platform's integrity, ensuring compliance with standards like SOC2 and GDPR. 
 
 
 Enable Hyper-Growth:  Engineer our systems for massive scalability and performance, ensuring we can seamlessly onboard thousands of new customers while maintaining a flawless user experience. 
 
 
 Drive Intelligence-Led Operations:  Establish robust monitoring, logging, and alerting systems that provide deep insights into system health and performance, allowing for proactive optimization and issue resolution. 
 
 
 Who You Are: 
 
 
 A seasoned DevOps or SRE professional with 5+ years of experience, bringing a security-first mindset to everything you do. 
 
 
 An expert in cloud platforms (preferably AWS), containerization (Docker, Kubernetes), and Infrastructure as Code (Terraform, Ansible). 
 
 
 A proactive builder who thrives in a fast-paced, high-growth startup environment. 
 
 
 You're not just looking for a job; you're looking to join a mission-driven team with a proven leader and build something that will redefine an industry. 
 
 
 You are inspired by the challenge of building a platform that levels the playing field for visionary entrepreneurs. 
 
 
 What We Offer: 
 
 
 Competitive Salary:  $130,000 - $150,000 annually. 
 
 
 Founding Team Equity:  A generous equity package, because you are a crucial part of our success story. 
 
 
 Comprehensive Benefits:  flexible work schedule, and unlimited PTO. 
 
 
 Unmatched Opportunity:  The chance to build the infrastructure for a category-defining company and work alongside a world-class team.",https://remotive.com/remote-jobs/devops/senior-devops-engineer-2070150,$130k - $150k,"AWS, cloud, docker, kubernetes, security, SRE, AI/ML, CI/CD, terraform, startup, ansible, infrastructure"
2088656,Customer Retention Manager,AutoHDR,USA,"Role:  Customer Success Representative 
 AutoHDR is the fastest growing AI startup in real estate media. We train custom image editing models for real estate, and are currently editing 25% of all US real estate listings! 
 Join our team and work with an exceptional team to build cutting edge products and continue growing 20% month over month! 
 Our vision is to produce the majority of media for the real estate industry - and you can join early on. 
   
 The role: 
 
 
 Own customer retention; build systems, automations, and build relationships to ensure a customer never leaves once using the platform. 
 
 
 Call un-subscribed customers to collect feedback and conduct our winback process 
 
 
 Call customers who report low quality ratings in realtime to proactively prevent churn. Consult them on how to prevent the issue & share upcoming product updates. 
 
 
 Proactively call existing users to collect feedback and proactively mitigate any churn risks. 
 
 
   
 Your key responsibility: 
 
 
 Make sure 100% of tickets from un-subscribed customers and low quality ratings are called through every single day. Come up with ideas and systematic, data-driven approaches for churn prevention. 
 
 
   
 Requirements: 
 
 
 Background working with real estate photographers or editing companies 
 
 
 Understanding of HDR or flambient real estate photo workflows 
 
 
 Perfect English fluency and no accent 
 
 
   
 Schedule: 
 
 
 Full-time (US Business Hours) 
 
 
 AutoHDR Core Values: 
 Our core values are the fuel for our continuous 20% month over month growth. Iron sharpens iron in our office, and the entire dev team is bought in to winning together. 
   
 Persistence 
 You believe anything is possible - the only variable is how long it will take. You will always continue trying to solve a problem, look for new solutions, and figure it out at all costs through continous effort - even when most would give up. 
 Optimism 
 You believe strongly that you can accomplish anything you want - regardless of the odds. Even when the worst case scenario happens, and everything is on fire, you never doubt your ability to pull through and win at what you set out to do. 
 Competitive greatness 
 Every individual on our team wants to be the best in the world at what they do. We are extremely compeitive, and will settle for nothing other than being the #1 player for AI real estate editing.",https://remotive.com/remote-jobs/customer-service/customer-retention-manager-2088656,,"AI/ML, editing, startup"
2088655,Customer Support Representative,AutoHDR,USA,"Company Description 
   
 AutoHDR is an AI real estate photo editing platform. We launched less than a year ago and already edit 25% of U.S. real estate listings. 
   
 We’re building a category-defining product and looking for people who want to help us scale it fast. This is an early hire on a small team of A players changing the industry. 
   
 Role Description 
   
 We’re hiring a Customer Support Rep to own inbound support and make sure the product is delivered well to users. 
   
 This is not a passive support role. We want someone fast, sharp, calm under pressure, and great with people. Your job is to respond quickly, solve problems clearly, and make sure every customer gets the right outcome fast. 
   
 You’ll handle inbound questions, quality issues, flagged shoots, human edit requests, and account-related problems. You’ll also be responsible for spotting when something is actually a bug, a churn risk, a sales opportunity, or an onboarding issue, and routing it correctly. 
   
 We want someone who can think clearly, communicate well, and use judgment. You should be able to solve what can be solved, escalate what needs escalation, and always leave the customer feeling taken care of. 
   
 You should also be constantly thinking about how support can be faster, smarter, and more scalable over time. 
   
 Requirements 
   
 You love helping people and communicating clearly. 
 You are fast, organized, and highly responsive. 
 You have strong judgment and know how to solve problems without overcomplicating them. 
 You are high-agency and take ownership instead of waiting around. 
 You can stay calm under pressure and handle urgent issues well. 
 You pay close attention to detail and care about quality. 
 You are good at figuring out whether something is a support issue, a bug, a churn risk, or a sales opportunity. 
 You think in systems and naturally look for ways to improve workflows over time. 
 You are comfortable working quickly across inboxes, tickets, Slack, and internal tools. 
   
 Bonus if you: 
   
 Have worked in customer support, operations, or a fast-paced SaaS environment. 
 Have experience in real estate media or real estate photography. 
 Have experience handling quality control, escalations, or technical support. 
 Have used AI tools to improve workflows or automate repetitive wor",https://remotive.com/remote-jobs/customer-service/customer-support-representative-2088655,,"saas, AI/ML, editing, technical support, onboarding, responsive"
1919265,Senior Independent Software Developer,A.Team,"Americas, Europe, Israel","You must be located in the Americas, Europe, or Israel to apply. A·Team  is a VC-backed, stealth, application-only home on the internet for senior independent software builders to team up with hand-picked, high-growth companies on their next big thing.  
 After talking with hundreds of independent engineers, designers, and product folks, we heard over and over that finding vetted, high-quality, consistent clients is hard, and projects are often too small to be rewarding. A·Team matches small teams of the most talented builders in the world with companies backed by a16z, YC, Softbank, General Catalyst, etc. on a contract basis for many of their most important initiatives. We quietly launched in May 2020, and have helped A·Teamers earn $85+ million since. 
 As part of A·Team, you can expect: 
 
 High-paying, meaningful missions with the most audacious companies  sent your way; generally $90-$150+/hr, with vetted, fascinating clients doing work that matters. We're picky about who we partner with; new clients only come in via trusted referral. We've worked with Lyft, McGraw Hill, ClearCo, Pepsi, Walmart, the former CEO of Waze, the leading vaccine production software, several new unicorns we can't say here, and dozens of startups backed by a16z/YC/Softbank/Insight/Tiger/etc. 
 Work alongside friends old & new:  our niche is small/diverse product teams, since clients with larger budgets and higher-impact work tell us they want teams, not individuals. Of course, we keep friends together whenever we can. 
 Full autonomy:  say ""no"" to things that don't excite you. The most talented builders often juggle a few things at once, so there's never pressure to join an A·Team mission if you don't have the bandwidth. If we're no longer a fit, it's easy to leave or pause too.  
 Small, curated, off-the-record gatherings:  for conversations hard to have elsewhere. Long-term, we're creating micro-communities for the world's top builders to become friends around the things they care about. 
 Keep 100% of what you earn:  if you charge $120/hr, you get $120/hr. A·Team makes money by charging a small, flat, transparent platform fee on  top  of your rate. 
 
   
   
 How to apply: 
 Go here:  https://build.a.team/remotivereferral  + mention Remotive.  We respect your time so the application is short. We're also much more interested in seeing what you've made, and excited to chat more if there’s a fit. 
 What you’ll do: 
 
 
 Once part of A.Team, you’ll regularly be invited to impactful missions that match your interests. Find the right pick from early-stage incubations with world-class founders, to fast-growing super-funded companies, to old school non-tech incumbents looking to build as a tech giant would 
 
 
 Missions usually involve building an ambitious piece of software from 0 to 1 as part of a small 3-4 person team.  
 
 
 You’ll be paid to scope it out, give the client options, guide strategy, and execute on the selected solution. Sometimes the client has a clear vision, sometimes not; which is why A.Team builders tend to be senior folks who can work together to find the right direction.  
 
 
 Who A · Team is for: 
 
 
 Senior software developers who left large companies and high-growth startups to pursue their craft with autonomy. 
 
 
 Those who prefer consistent contract work over a full-time role, who want to create a variety of new products alongside other top-tier builders. 
 
 
 The majority of A.Teamers spend most of their time doing independent work, but a sizeable percentage are either employed full-time (but testing out client work), bootstrapping a side project, or looking for their next big thing 
 
 
 Who A · Team is  not  for: 
 
 
 People looking for small gigs 
 
 
 Folks looking to build simple wordpress/wix/squarespace-style websites 
 
 
 Those still early in their careers (<4 years) and recent university/bootcamp grads (at least not yet) 
 
 
 Our long-term vision: 
 A·Team  is a new type of company for a new kind of independent software builder. We call them ""unhirables"": people who traditional companies couldn’t hire full-time even if they wanted to, but who want to do their most meaningful work with their favorite people in small, autonomous, distributed expert teams.  
 To help us secure amazing missions, we raised $60 million+  from Insight Partenrs, Tiger Global, NFX, RocNation, along with the former CEO of Upwork, the founders of Fiverr and Lemonade, Apple's Global Head of Recruiting, YC Partner Aaron Harris, Wharton's Adam Grant, and Duke's Dan Ariely.",https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,$90 - $150 /hour,"go, wordpress, chat, apple, testing, catalyst"
1919266,Senior Independent AI Engineer / Architect,A.Team,"Americas, Europe, Israel","Location:  Americas, Europe, or Israel 
 The Opportunity 
 Join A.Team’s invite-only network of senior builders and access exclusive missions with Fortune 500s and top startups. This isn’t client work or employment—it’s a vetted collective where you’re matched to impactful projects. At A.Team, you won’t just implement someone else’s plan. You’ll be the technical decision-maker, owning everything from model design to enterprise integration. 
 Why A.Team 
 
 
 Elite peers : ex-OpenAI, Google, Meta, Amazon. 
 
 
 Precision matching : Missions in LLMs, CV, NLP, ML infra, fine-tuning. 
 
 
 Compensation : $120–$170/hr, biweekly payouts, you keep 100%. 
 
 
 Autonomy : Choose only missions that excite you—no small gigs, no chasing. 
 
 
 What You’ll Do 
 
 
 Lead the design, deployment, and scaling of production AI systems. 
 
 
 Build ambitious software 0→1 in small, senior teams (3–5 people). 
 
 
 Scope, propose, and execute solutions with real ownership. 
 
 
 Partner with founders, CTOs, and product leaders to deliver outcomes that matter. 
 
 
 Who Thrives Here 
 
 
 Senior AI/ML Engineers with production systems live. 
 
 
 AI Architects who’ve built enterprise AI stacks. 
 
 
 Tech Leaders balancing architecture with business outcomes. 
 
 
 Specialists in LLMs, CV, NLP, or infra with proven depth. 
 
 
 Not a fit : under 4 years’ experience, simple website builders, or small gig seekers. 
 Proof in the Network 
 Your peers have scaled apps to millions, built enterprise AI platforms, shipped AI at unicorns, and deployed infra handling billions/day. 
 How to Apply 
 Apply once at  build.a.team/apply-ai . Short, rigorous process—we care more about what you’ve built than lengthy forms.",https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,$120 - $170 /hour,"go, UI/UX, wordpress, chat, apple, testing, catalyst"
2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,"USA, Canada, USA timezones","About Mitre Media 
 Mitre Media is redefining FinTech with AI-driven tools that empower millions of investors. Our portfolio, including Dividend.com and MutualFunds.com, leverages LLMs to deliver novel data insights and visually rich user experiences. For over a decade, we’ve served individual investors, financial advisors, and top asset managers like BlackRock and Vanguard through our premium data, tools, and advertising solutions. Join our lean, entrepreneurial team to shape the future of AI-powered investing from your location ±3 hours from Eastern Time. 
 Our users are deeply engaged, spending over 5 minutes per visit with a bounce rate below 10%, researching investments across hundreds of different categories. With 40 million brokerage accounts in the U.S., we take pride in building tools that make a real impact, fostering a culture of trust, innovation, and dynamism. If you’re passionate about financial technology and AI, we’d love to connect! 
 About the Role 
 As a Full-Stack Rails Tech Lead, you’ll architect and implement LLM-powered web applications within our microservices-based Rails 8 platform. Reporting directly to our CTO, you’ll collaborate with a small, high-impact team to deliver user experiences across Dividend.com, MutualFunds.com and other brands within our portfolio. This role combines expert Ruby on Rails skills with AI integration expertise, requiring you to leverage LLMs in your development workflow, state management and user interactions. 
 You’ll work in a remote-first hybrid environment, which encourages in person collaboration, using ShapeUp to manage projects that trade-off on-time delivery for de-scoped outcomes. As a technical leader, you'll have a seat at the table shaping system architecture, implementing core features all while embracing an entrepreneurial mindset and a “get things done” mentality. 
 Responsibilities 
 
 
 Architect and maintain Rails applications (Rails 8) 
 
 
 Integrate LLMs into our microservices architecture for state management and real-time user experiences. 
 
 
 Enhance front-end experiences with Hotwire, StimulusJS, or React, ensuring seamless AI-driven interactions. 
 
 
 Optimize LLM inference for low latency and cost, using caching and asynchronous processing. 
 
 
 Required Technical Skills 
 Back-End 
 
 
 Ruby (5+ years, expert-level) 
 
 
 Ruby on Rails (Rails 6-8 preferred) 
 
 
 PostgreSQL (or MySQL) 
 
 
 Elasticsearch 
 
 
 Redis 
 
 
 Docker 
 
 
 Front-End 
 
 
 StimulusJS or JavaScript ES6 
 
 
 Tailwind CSS 
 
 
 HTML 
 
 
 HTTP 
 
 
 AI Integration 
 
 
 Experience integrating AI/ML models (e.g., LLMs, NLP) with web applications 
 
 
 Familiarity with LLM frameworks (e.g., LangChain, Hugging Face) or APIs (e.g., xAI, Anthropic) 
 
 
 Nice-to-Have Technical Skills 
 
 
 Kubernetes for microservices orchestration 
 
 
 React for advanced front-end components 
 
 
 Graph databases for complex financial data 
 
 
 Contributions to open-source RoR or AI projects 
 
 
 Required Soft Skills 
 
 
 Entrepreneurial mindset with a passion for AI and FinTech 
 
 
 Natural leader who mentors and inspires teammates 
 
 
 Problem-solver with a “get things done” mentality 
 
 
 Excellent communication, thriving in remote and cross-team collaboration 
 
 
 Attention to detail, ensuring clean, maintainable code 
 
 
 Team player comfortable as an individual contributor 
 
 
 Why Join Us? 
 
 
 Impactful Work : Build AI-powered tools that help millions of investors make informed decisions from data-driven insights. 
 
 
 Cutting-Edge Tech : Work with Rails 8, LLMs, and modern tools like Hotwire, Databricks, and xAI’s API in a microservices architecture. 
 
 
 Autonomy and Influence : Collaborate directly with our CEO and CTO to shape our AI-driven platform, with freedom to innovate. 
 
 
 Competitive Compensation : $160,000–$200,000 CAD/USD (based on experience) and benefits. 
 
 
 Remote Flexibility : Remote-first (±3 hours from ET) with hybrid in office collaboration in Toronto or NYC 
 
 
 Growth Opportunities : Budget for AI and Rails conferences (e.g., NeurIPS, RailsConf), plus access to cutting-edge AI tools for experimentation. 
 
 
 Dynamic Culture : Join a small, no-ego team passionate about trust, innovation, and making a difference in FinTech. 
 
 
 About Mitre Media’s AI-Driven Platform 
 Mitre Media powers premium financial brands like  Dividend.com  and  MutualFunds.com  with the Mitre Platform. This platform integrates traditional content management, financial data, first-party data, ad revenue, and subscription tools, all enhanced by LLMs for rich, user-focused experiences. Our data-derived insights delight users, while our advertising solutions deliver unmatched performance for partners like BlackRock and Vanguard, leveraging advanced targeting and first-party data. 
 How to Apply 
   
 Submit your resume, GitHub profile, and a brief note on why you’re excited about building AI-driven FinTech to jobs@mitremedia.com.",https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,$170k - $200k,"api, CSS, docker, elasticsearch, fullstack, html, javascript, kubernetes, postgresql, react, ror, ruby/rails, AI/ML, CAD, advertising, Redis, ES6, web applications, MySQL, NLP, fintech, Micro services, github, system architecture"
2069747,Tech Lead Databricks Data Engineer,Mitre Media,"USA, Canada, USA timezones","About Mitre Media 
 Mitre Media is redefining FinTech with AI-driven tools that empower millions of investors. Our portfolio, including Dividend.com and MutualFunds.com, leverages LLMs to deliver novel data insights and visually rich user experiences. For over a decade, we’ve served individual investors, financial advisors, and top asset managers like BlackRock and Vanguard through our premium data, tools, and advertising solutions. If you’re excited by the intersection of big data, AI, and investing, join our lean, entrepreneurial team from anywhere within ±3 hours of Eastern Time. 
 About the Role 
 As Tech Lead Data Engineer, you’ll architect and maintain the data backbone powering every feature across our product suite. Reporting to the CTO, you will design Databricks-based ETL pipelines, model complex investment data, and surface low-latency, high-quality datasets for both user-facing features and internal AI/analytics workloads. You’ll collaborate in a remote-first hybrid culture that values in-person “bursts” of collaboration, follow ShapeUp for project planning, and ship pragmatic solutions that favor de-scoping over delays. 
 Responsibilities 
 
 
 Design, implement, and optimize large-scale ETL workflows in Databricks (Apache Spark, Delta Lake, DBT). 
 
 
 Develop algorithms that transform raw market data into actionable insights. 
 
 
 Own data quality and lineage, instituting tests, monitoring, and alerting for mission-critical pipelines. 
 
 
 Evolve our cloud data platform (AWS & GCP) for scale, performance, and cost efficiency. 
 
 
 Mentor engineers, championing best practices in code reviews, documentation, and DevOps for data. 
 
 
 Required Technical Skills 
 Data Engineering 
 
 
 Programming : Expert in Python plus working knowledge of Scala or Java. 
 
 
 Databricks & Spark : Hands-on with cluster tuning, job orchestration, and Delta Tables. 
 
 
 SQL & DBT : Strong analytical SQL, modular data-model design, and CI/CD for transformations. 
 
 
 Cloud : Production experience on AWS or GCP data services (e.g., S3/GCS, EMR/Dataproc, Glue/Dataflow). 
 
 
 ETL & Orchestration : Solid grasp of EL(T) patterns, workflow scheduling, and incremental processing. 
 
 
 Data Modeling : Dimensional and schema-on-read designs for analytics and AI. 
 
 
 AI & Analytics Enablement 
 
 
 Building feature stores or inference-ready tables for ML/LLM workflows. 
 
 
 Familiarity with vector databases or embedding pipelines 
 
 
 Nice-to-Have Technical Skills 
 
 
 Apache Airflow, Luigi, or Dagster for DAG orchestration. 
 
 
 Experience with Looker, Tableau, or Stripe’s Vizier-style visualization stacks. 
 
 
 Financial-markets domain knowledge (equities, ETFs, mutual funds). 
 
 
 Machine-learning engineering or statistical-analysis background. 
 
 
 Required Soft Skills 
 
 
 Entrepreneurial mindset with a passion for AI and FinTech innovation. 
 
 
 Self-starter who diagnoses problems, proposes trade-offs, and delivers. 
 
 
 Clear communicator who thrives in distributed, cross-functional teams. 
 
 
 Mentorship attitude—uplifts peers through code reviews and knowledge-sharing. 
 
 
 Detail-oriented and disciplined about data accuracy and documentation. 
 
 
 Why Join Us? 
 
 
 Impactful Work  – Your pipelines feed every insight we deliver to millions of investors. 
 
 
 Cutting-Edge Tech  – Databricks, Delta Lake, LLMs, Hotwire, and xAI’s API, all in a modern microservices stack. 
 
 
 Autonomy & Influence  – Work directly with the CEO & CTO to shape our data and AI strategy. 
 
 
 Competitive Compensation  – $150k – $185k CAD/USD plus benefits and performance bonuses. 
 
 
 Remote Flexibility  – Remote-first within ±3 hrs ET; optional collaboration hubs in Toronto and NYC. 
 
 
 Growth Opportunities  – Budget for conferences (e.g., Data+AI Summit, NeurIPS) and continuous learning. 
 
 
 About Mitre Media’s AI-Driven Platform 
 Mitre Media powers premium financial brands like  Dividend.com  and  MutualFunds.com  with the Mitre Platform. This platform integrates traditional content management, financial data, first-party data, ad revenue, and subscription tools, all enhanced by LLMs for rich, user-focused experiences. Our data-derived insights delight users, while our advertising solutions deliver unmatched performance for partners like BlackRock and Vanguard, leveraging advanced targeting and first-party data. 
 How to Apply 
   
 Submit your resume, GitHub profile, and a brief note on why you’re excited about building AI-driven FinTech to jobs@mitremedia.com.",https://remotive.com/remote-jobs/software-development/tech-lead-databricks-data-engineer-2069747,$160k - $180k,"apache, api, AWS, big data, cloud, java, python, scala, sql, AI/ML, documentation, CAD, CI/CD, analytics, advertising, spark, tableau, GCP, ETL, data engineering, SOLID, fintech, Micro services, backbone, github"
